"ID","date","days","width"
"ID_90",2015-12-18,101,43
"ID_90",2016-01-20,134,50.5
"ID_90",2016-02-17,162,58.5
"ID_90",2016-03-16,190,50.5
"ID_91",2015-12-18,101,31.5
"ID_91",2016-01-20,134,45
"ID_91",2016-02-17,162,56.5
"ID_91",2016-03-16,190,48
"ID_92",2015-12-18,101,42
"ID_92",2016-01-20,134,55
"ID_92",2016-02-17,162,65.5
"ID_92",2016-03-16,190,53.5
"ID_94",2015-12-18,101,45
"ID_94",2016-01-20,134,51
"ID_94",2016-02-17,162,63
"ID_94",2016-03-16,190,50
"ID_95",2015-12-18,101,59.5
"ID_95",2016-01-20,134,55
"ID_95",2016-02-17,162,63
"ID_95",2016-03-16,190,52
"ID_96",2015-12-18,101,61.5
"ID_96",2016-01-20,134,68
"ID_96",2016-02-17,162,76.5
"ID_96",2016-03-16,190,51
"ID_98",2015-12-18,101,51
"ID_98",2016-01-20,134,60
"ID_98",2016-02-17,162,70.5
"ID_98",2016-03-16,190,68
"ID_99",2015-12-18,101,38
"ID_99",2016-01-20,134,56.5
"ID_99",2016-02-17,162,64.5
"ID_99",2016-03-16,190,57.5
