"ID","date","days","width","width_raw"
"ID_42",2015-12-18,101,49,49
"ID_42",2016-01-20,134,55,55
"ID_42",2016-02-17,162,67.5,67.5
"ID_42",2016-03-16,190,67.5,57
"ID_45",2015-12-18,101,53.5,53.5
"ID_45",2016-01-20,134,63,63
"ID_45",2016-02-17,162,68,68
"ID_45",2016-03-16,190,68,54
"ID_47",2015-12-18,101,24.5,24.5
"ID_47",2016-01-20,134,41,41
"ID_47",2016-02-17,162,59,59
"ID_47",2016-03-16,190,59,58.5
"ID_48",2015-12-18,101,40,40
"ID_48",2016-01-20,134,48,48
"ID_48",2016-02-17,162,57,57
"ID_48",2016-03-16,190,57,57
"ID_49",2015-12-18,101,30.5,30.5
"ID_49",2016-01-20,134,46,46
"ID_49",2016-02-17,162,57.5,57.5
"ID_49",2016-03-16,190,58,58
"ID_50",2015-12-18,101,32.5,32.5
"ID_50",2016-01-20,134,36.5,36.5
"ID_50",2016-02-17,162,53.5,53.5
"ID_50",2016-03-16,190,58,58
"ID_51",2015-12-18,101,67.5,67.5
"ID_51",2016-01-20,134,72,72
"ID_51",2016-02-17,162,72,68.5
"ID_51",2016-03-16,190,72,61
"ID_52",2015-12-18,101,83.5,83.5
"ID_52",2016-01-20,134,83.5,82.5
"ID_52",2016-02-17,162,83.5,68
"ID_52",2016-03-16,190,83.5,59.5
"ID_53",2015-12-18,101,44,44
"ID_53",2016-01-20,134,46,46
"ID_53",2016-02-17,162,54,54
"ID_53",2016-03-16,190,54,51
"ID_55",2015-12-18,101,33,33
"ID_55",2016-01-20,134,48,48
"ID_55",2016-02-17,162,48,44.5
"ID_55",2016-03-16,190,45.5,45.5
"ID_56",2015-12-18,101,42.5,42.5
"ID_56",2016-01-20,134,50,50
"ID_56",2016-02-17,162,56.5,56.5
"ID_56",2016-03-16,190,59.5,59.5
"ID_57",2015-12-18,101,43,43
"ID_57",2016-01-20,134,52.5,52.5
"ID_57",2016-02-17,162,77,77
"ID_57",2016-03-16,190,77,59.5
"ID_58",2015-12-18,101,33,33
"ID_58",2016-01-20,134,41.5,41.5
"ID_58",2016-02-17,162,52,52
"ID_58",2016-03-16,190,52,52
"ID_59",2015-12-18,101,46,46
"ID_59",2016-01-20,134,51,44.5
"ID_59",2016-02-17,162,55.5,55.5
"ID_59",2016-03-16,190,56.5,56.5
"ID_6",2015-12-18,101,28.5,28.5
"ID_6",2016-01-20,134,41,41
"ID_6",2016-02-17,162,58.5,58.5
"ID_6",2016-03-16,190,62.5,62.5
"ID_60",2015-12-18,101,53.5,53.5
"ID_60",2016-01-20,134,59,59
"ID_60",2016-02-17,162,69,69
"ID_60",2016-03-16,190,69,65
"ID_61",2015-12-18,101,41,41
"ID_61",2016-01-20,134,51.5,51.5
"ID_61",2016-02-17,162,55.5,55.5
"ID_61",2016-03-16,190,55.5,47
"ID_62",2015-12-18,101,18,18
"ID_62",2016-01-20,134,38.5,38.5
"ID_62",2016-02-17,162,38.5,36.5
"ID_62",2016-03-16,190,37,37
"ID_63",2015-12-18,101,30,30
"ID_63",2016-01-20,134,57,57
"ID_63",2016-02-17,162,58,56.5
"ID_63",2016-03-16,190,58.5,58.5
"ID_64",2015-12-18,101,38,38
"ID_64",2016-01-20,134,54,54
"ID_64",2016-02-17,162,61.5,61.5
"ID_64",2016-03-16,190,64,64
"ID_65",2015-12-18,101,50,50
"ID_65",2016-01-20,134,66.5,66.5
"ID_65",2016-02-17,162,68,63.5
"ID_65",2016-03-16,190,70,70
"ID_67",2015-12-18,101,56.5,56.5
"ID_67",2016-01-20,134,61.5,61.5
"ID_67",2016-02-17,162,73.5,73.5
"ID_67",2016-03-16,190,73.5,66
"ID_68",2015-12-18,101,39.5,39.5
"ID_68",2016-01-20,134,49,49
"ID_68",2016-02-17,162,59.5,59.5
"ID_68",2016-03-16,190,59.5,58
"ID_69",2015-12-18,101,24,24
"ID_69",2016-01-20,134,31,31
"ID_69",2016-02-17,162,50,50
"ID_69",2016-03-16,190,50,43.5
"ID_7",2015-12-18,101,49.5,49.5
"ID_7",2016-01-20,134,51,46.5
"ID_7",2016-02-17,162,52,52
"ID_7",2016-03-16,190,70.5,70.5
"ID_72",2015-12-18,101,21.5,21.5
"ID_72",2016-01-20,134,35,35
"ID_72",2016-02-17,162,54.5,54.5
"ID_72",2016-03-16,190,54.5,41.5
"ID_73",2015-12-18,101,43,43
"ID_73",2016-01-20,134,51.5,51.5
"ID_73",2016-02-17,162,66,66
"ID_73",2016-03-16,190,66,59
"ID_74",2015-12-18,101,46,46
"ID_74",2016-01-20,134,57.5,57.5
"ID_74",2016-02-17,162,71,71
"ID_74",2016-03-16,190,71,53.5
"ID_75",2015-12-18,101,21,21
"ID_75",2016-01-20,134,34.5,34.5
"ID_75",2016-02-17,162,54,54
"ID_75",2016-03-16,190,54,39.5
"ID_76",2015-12-18,101,40,40
"ID_76",2016-01-20,134,48.5,48.5
"ID_76",2016-02-17,162,66.5,66.5
"ID_76",2016-03-16,190,66.5,50.5
"ID_77",2015-12-18,101,33.5,33.5
"ID_77",2016-01-20,134,43,43
"ID_77",2016-02-17,162,51.5,51.5
"ID_77",2016-03-16,190,51.5,39
"ID_78",2015-12-18,101,45,45
"ID_78",2016-01-20,134,49.5,49.5
"ID_78",2016-02-17,162,72.5,72.5
"ID_78",2016-03-16,190,72.5,55.5
"ID_79",2015-12-18,101,41,41
"ID_79",2016-01-20,134,63.5,63.5
"ID_79",2016-02-17,162,69,69
"ID_79",2016-03-16,190,78,78
"ID_8",2015-12-18,101,33,33
"ID_8",2016-01-20,134,43.5,43.5
"ID_8",2016-02-17,162,57,57
"ID_8",2016-03-16,190,57,52
"ID_80",2015-12-18,101,43.5,43.5
"ID_80",2016-01-20,134,48.5,48.5
"ID_80",2016-02-17,162,68,68
"ID_80",2016-03-16,190,74.5,74.5
"ID_81",2015-12-18,101,29,29
"ID_81",2016-01-20,134,38,38
"ID_81",2016-02-17,162,60,60
"ID_81",2016-03-16,190,60,46
"ID_82",2015-12-18,101,28,28
"ID_82",2016-01-20,134,45,45
"ID_82",2016-02-17,162,59.5,59.5
"ID_82",2016-03-16,190,59.5,57
"ID_84",2015-12-18,101,59,59
"ID_84",2016-01-20,134,71,71
"ID_84",2016-02-17,162,71,62
"ID_84",2016-03-16,190,71,55
"ID_85",2015-12-18,101,39,39
"ID_85",2016-01-20,134,46.5,46.5
"ID_85",2016-02-17,162,54.5,54.5
"ID_85",2016-03-16,190,54.5,47.5
"ID_86",2015-12-18,101,47,47
"ID_86",2016-01-20,134,50.5,50.5
"ID_86",2016-02-17,162,61.5,61.5
"ID_86",2016-03-16,190,61.5,53.5
"ID_87",2015-12-18,101,42,42
"ID_87",2016-01-20,134,63.5,63.5
"ID_87",2016-02-17,162,65,65
"ID_87",2016-03-16,190,65,54
"ID_88",2015-12-18,101,24.5,24.5
"ID_88",2016-01-20,134,43.5,43.5
"ID_88",2016-02-17,162,61.5,61.5
"ID_88",2016-03-16,190,67.5,67.5
"ID_89",2015-12-18,101,37.5,37.5
"ID_89",2016-01-20,134,50.5,50.5
"ID_89",2016-02-17,162,70,70
"ID_89",2016-03-16,190,70,59
"ID_9",2015-12-18,101,36.5,36.5
"ID_9",2016-01-20,134,57.5,57.5
"ID_9",2016-02-17,162,59,59
"ID_9",2016-03-16,190,59,51
"ID_90",2015-12-18,101,43,43
"ID_90",2016-01-20,134,50.5,50.5
"ID_90",2016-02-17,162,58.5,58.5
"ID_90",2016-03-16,190,58.5,50.5
"ID_91",2015-12-18,101,31.5,31.5
"ID_91",2016-01-20,134,45,45
"ID_91",2016-02-17,162,56.5,56.5
"ID_91",2016-03-16,190,56.5,48
"ID_92",2015-12-18,101,42,42
"ID_92",2016-01-20,134,55,55
"ID_92",2016-02-17,162,65.5,65.5
"ID_92",2016-03-16,190,65.5,53.5
"ID_94",2015-12-18,101,45,45
"ID_94",2016-01-20,134,51,51
"ID_94",2016-02-17,162,63,63
"ID_94",2016-03-16,190,63,50
"ID_95",2015-12-18,101,59.5,59.5
"ID_95",2016-01-20,134,61,55
"ID_95",2016-02-17,162,63,63
"ID_95",2016-03-16,190,63,52
"ID_96",2015-12-18,101,61.5,61.5
"ID_96",2016-01-20,134,68,68
"ID_96",2016-02-17,162,76.5,76.5
"ID_96",2016-03-16,190,76.5,51
"ID_98",2015-12-18,101,51,51
"ID_98",2016-01-20,134,60,60
"ID_98",2016-02-17,162,70.5,70.5
"ID_98",2016-03-16,190,70.5,68
"ID_99",2015-12-18,101,38,38
"ID_99",2016-01-20,134,56.5,56.5
"ID_99",2016-02-17,162,64.5,64.5
"ID_99",2016-03-16,190,64.5,57.5
"ID_138",2015-12-18,101,69,69
"ID_138",2016-01-20,134,69,51.5
"ID_138",2016-02-17,162,69,66
"ID_138",2016-03-16,190,69,68.5
"ID_144",2015-12-18,101,74.5,74.5
"ID_144",2016-01-20,134,74.5,49.5
"ID_144",2016-02-17,162,74.5,69.5
"ID_144",2016-03-16,190,74.5,61.5
"ID_192",2015-12-18,101,9,9
"ID_192",2016-01-20,134,57,57
"ID_192",2016-02-17,162,57,23.5
"ID_192",2016-03-16,190,57,31
"ID_139",2015-12-18,101,58,58
"ID_139",2016-01-20,134,60,52
"ID_139",2016-02-17,162,61,47
"ID_139",2016-03-16,190,62,62
