"ID","date","days","leaf_number","leaf_number_raw"
"ID_81",2015-12-28,111,20,20
"ID_81",2016-01-21,135,5,5
"ID_81",2016-02-18,163,8,6
"ID_81",2016-03-21,195,2,2
"ID_82",2015-12-28,111,17,17
"ID_82",2016-01-21,135,14,14
"ID_82",2016-02-18,163,7,7
"ID_82",2016-03-21,195,4,4
"ID_84",2015-12-28,111,20,20
"ID_84",2016-01-21,135,7,7
"ID_84",2016-02-18,163,4,4
"ID_84",2016-03-21,195,6,13
"ID_85",2015-12-28,111,19,19
"ID_85",2016-01-21,135,15,15
"ID_85",2016-02-18,163,12,12
"ID_85",2016-03-21,195,10,10
"ID_86",2015-12-28,111,23,18
"ID_86",2016-01-21,135,19,19
"ID_86",2016-02-18,163,10,10
"ID_86",2016-03-21,195,2,12
"ID_87",2015-12-28,111,25,25
"ID_87",2016-01-21,135,24,24
"ID_87",2016-02-18,163,8,8
"ID_87",2016-03-21,195,5,5
"ID_88",2015-12-28,111,13,13
"ID_88",2016-01-21,135,10,10
"ID_88",2016-02-18,163,7,7
"ID_88",2016-03-21,195,6,6
"ID_89",2015-12-28,111,15,18
"ID_89",2016-01-21,135,19,19
"ID_89",2016-02-18,163,10,10
"ID_89",2016-03-21,195,4,11
"ID_9",2015-12-28,111,25,17
"ID_9",2016-01-21,135,20,20
"ID_9",2016-02-18,163,4,4
"ID_9",2016-03-21,195,7,8
"ID_90",2015-12-28,111,22,22
"ID_90",2016-01-21,135,18,18
"ID_90",2016-02-18,163,15,15
"ID_90",2016-03-21,195,8,8
"ID_91",2015-12-28,111,21,18
"ID_91",2016-01-21,135,20,20
"ID_91",2016-02-18,163,14,14
"ID_91",2016-03-21,195,9,9
"ID_92",2015-12-28,111,25,20
"ID_92",2016-01-21,135,25,25
"ID_92",2016-02-18,163,17,17
"ID_92",2016-03-21,195,15,15
"ID_94",2015-12-28,111,17,17
"ID_94",2016-01-21,135,9,9
"ID_94",2016-02-18,163,5,5
"ID_94",2016-03-21,195,5,5
"ID_95",2015-12-28,111,15,15
"ID_95",2016-01-21,135,14,14
"ID_95",2016-02-18,163,4,4
"ID_95",2016-03-21,195,4,4
"ID_96",2015-12-28,111,16,11
"ID_96",2016-01-21,135,15,15
"ID_96",2016-02-18,163,6,6
"ID_96",2016-03-21,195,4,4
"ID_98",2015-12-28,111,22,22
"ID_98",2016-01-21,135,13,13
"ID_98",2016-02-18,163,5,5
"ID_98",2016-03-21,195,4,7
"ID_99",2015-12-28,111,20,20
"ID_99",2016-01-21,135,10,10
"ID_99",2016-02-18,163,8,8
"ID_99",2016-03-21,195,7,7
