ID,date,days,height
ID_37,5/13/16,248,184
ID_38,12/18/15,101,24
ID_38,1/20/16,134,44
ID_38,2/17/16,162,129
ID_38,3/16/16,190,155
ID_38,5/13/16,248,167
ID_39,12/18/15,101,29
ID_39,1/20/16,134,43
ID_39,2/17/16,162,50
ID_39,3/16/16,190,167
ID_39,5/13/16,248,167
ID_4,12/18/15,101,19
ID_4,1/20/16,134,92
ID_4,2/17/16,162,120
ID_4,3/16/16,190,148
ID_4,5/13/16,248,182
ID_40,12/18/15,101,16
ID_40,1/20/16,134,36
ID_40,2/17/16,162,74
ID_40,3/16/16,190,140
ID_40,5/13/16,248,174
ID_41,12/18/15,101,17
ID_41,1/20/16,134,39
ID_41,2/17/16,162,115
ID_41,3/16/16,190,152
ID_41,5/13/16,248,164
ID_42,12/18/15,101,17
ID_42,1/20/16,134,42
ID_42,2/17/16,162,123
ID_42,3/16/16,190,166
ID_42,5/13/16,248,203
ID_45,12/18/15,101,29
ID_45,1/20/16,134,47
ID_45,2/17/16,162,117
ID_45,3/16/16,190,141
ID_45,5/13/16,248,215
ID_47,12/18/15,101,15
ID_47,1/20/16,134,35
ID_47,2/17/16,162,51
ID_47,3/16/16,190,105
ID_47,5/13/16,248,162
ID_48,12/18/15,101,19
ID_48,1/20/16,134,38
ID_48,2/17/16,162,74
ID_48,3/16/16,190,150
ID_48,5/13/16,248,179
ID_49,12/18/15,101,18
ID_49,1/20/16,134,38
ID_49,2/17/16,162,77
ID_49,3/16/16,190,152
ID_49,5/13/16,248,188
ID_50,12/18/15,101,13
ID_50,1/20/16,134,34
ID_50,2/17/16,162,86
ID_50,3/16/16,190,150
ID_50,5/13/16,248,171
ID_51,12/18/15,101,29
ID_51,1/20/16,134,66
ID_51,2/17/16,162,135
ID_51,3/16/16,190,169
ID_51,5/13/16,248,172
ID_52,12/18/15,101,28
ID_52,1/20/16,134,120
ID_52,2/17/16,162,140
ID_52,3/16/16,190,175
ID_52,5/13/16,248,175
ID_53,12/18/15,101,30
ID_53,1/20/16,134,37
ID_53,2/17/16,162,75
ID_53,3/16/16,190,130
ID_53,5/13/16,248,179
ID_55,12/18/15,101,17
ID_55,1/20/16,134,60
ID_55,2/17/16,162,93
ID_55,3/16/16,190,122
ID_55,5/13/16,248,122
ID_56,12/18/15,101,19
ID_56,1/20/16,134,48
ID_56,2/17/16,162,101
ID_56,3/16/16,190,121
ID_56,5/13/16,248,172
ID_57,12/18/15,101,22
ID_57,1/20/16,134,46
ID_57,2/17/16,162,89
ID_57,3/16/16,190,141
ID_57,5/13/16,248,200
ID_58,12/18/15,101,17
ID_58,1/20/16,134,35
ID_58,2/17/16,162,35
ID_58,3/16/16,190,107
ID_58,5/13/16,248,162
ID_59,12/18/15,101,21
ID_59,1/20/16,134,51
ID_59,2/17/16,162,136
ID_59,3/16/16,190,173
ID_59,5/13/16,248,181
ID_6,12/18/15,101,15
ID_6,1/20/16,134,32
ID_6,2/17/16,162,72
ID_6,3/16/16,190,180
ID_6,5/13/16,248,229
ID_60,12/18/15,101,15
ID_60,1/20/16,134,42
ID_60,2/17/16,162,70
ID_60,3/16/16,190,146
ID_60,5/13/16,248,157
ID_61,12/18/15,101,12
ID_61,1/20/16,134,34
ID_61,2/17/16,162,67
ID_61,3/16/16,190,148
ID_61,5/13/16,248,171
ID_62,12/18/15,101,16
ID_62,1/20/16,134,28
ID_62,2/17/16,162,37
ID_62,3/16/16,190,90
ID_62,5/13/16,248,204
ID_63,12/18/15,101,16
ID_63,1/20/16,134,37
ID_63,2/17/16,162,62
ID_63,3/16/16,190,126
ID_63,5/13/16,248,164
ID_64,12/18/15,101,15
ID_64,1/20/16,134,38
ID_64,2/17/16,162,80
ID_64,3/16/16,190,162
ID_64,5/13/16,248,182
ID_65,12/18/15,101,17
ID_65,1/20/16,134,44
ID_65,2/17/16,162,131
ID_65,3/16/16,190,171
ID_65,5/13/16,248,203
ID_67,12/18/15,101,17
ID_67,1/20/16,134,45
ID_67,2/17/16,162,125
ID_67,3/16/16,190,149
ID_67,5/13/16,248,182
ID_68,12/18/15,101,14
ID_68,1/20/16,134,50
ID_68,2/17/16,162,100
ID_68,3/16/16,190,134
ID_68,5/13/16,248,157
ID_69,12/18/15,101,9
ID_69,1/20/16,134,46
ID_69,2/17/16,162,72
ID_69,3/16/16,190,82
ID_69,5/13/16,248,127
ID_7,12/18/15,101,20
ID_7,1/20/16,134,40
ID_7,2/17/16,162,55
ID_7,3/16/16,190,147
ID_7,5/13/16,248,172
ID_72,12/18/15,101,9
ID_72,1/20/16,134,45
ID_72,2/17/16,162,118
ID_72,3/16/16,190,118
ID_72,5/13/16,248,100
ID_73,12/18/15,101,15
ID_73,1/20/16,134,45
ID_73,2/17/16,162,97
ID_73,3/16/16,190,152
ID_73,5/13/16,248,185
ID_74,12/18/15,101,14
ID_74,1/20/16,134,38
ID_74,2/17/16,162,110
ID_74,3/16/16,190,143
ID_74,5/13/16,248,169
ID_75,12/18/15,101,8
ID_75,1/20/16,134,25
ID_75,2/17/16,162,78
ID_75,3/16/16,190,99
ID_75,5/13/16,248,121
ID_76,12/18/15,101,12
ID_76,1/20/16,134,53
ID_76,2/17/16,162,117
ID_76,3/16/16,190,137
ID_76,5/13/16,248,137
ID_77,12/18/15,101,15
ID_77,1/20/16,134,29
ID_77,2/17/16,162,101
ID_77,3/16/16,190,134
ID_77,5/13/16,248,134
ID_78,12/18/15,101,16
ID_78,1/20/16,134,38
ID_78,2/17/16,162,99
ID_78,3/16/16,190,150
ID_78,5/13/16,248,174
ID_79,12/18/15,101,16
ID_79,1/20/16,134,42
ID_79,2/17/16,162,132
ID_79,3/16/16,190,190
ID_79,5/13/16,248,216
